,annotation,content,extras,label,Predictions
0,"{'notes': '', 'label': ['1']}", Get fucking real dude.,,1,1
1,"{'notes': '', 'label': ['1']}", She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,,1,1
2,"{'notes': '', 'label': ['1']}", why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,,1,1
3,"{'notes': '', 'label': ['1']}", Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,,1,1
4,"{'notes': '', 'label': ['1']}", WTF are you talking about Men? No men thats not a menage  that's just gay.,,1,1
5,"{'notes': '', 'label': ['1']}",Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,,1,1
6,"{'notes': '', 'label': ['1']}", Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,,1,1
7,"{'notes': '', 'label': ['1']}",...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,,1,1
8,"{'notes': '', 'label': ['1']}","Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",,1,1
9,"{'notes': '', 'label': ['1']}",LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,,1,1
10,"{'notes': '', 'label': ['1']}",truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,,1,1
11,"{'notes': '', 'label': ['1']}",Shakespeare nerd!,,1,1
12,"{'notes': '', 'label': ['1']}",you are SUCH a fucking dork,,1,1
13,"{'notes': '', 'label': ['1']}",Heh. Fuck 'em WHERE?!?,,1,1
14,"{'notes': '', 'label': ['1']}",damn it i totally forgot that one!,,1,1
15,"{'notes': '', 'label': ['1']}",wow  damn I would have been pissed @ that...,,1,1
16,"{'notes': '', 'label': ['1']}",nigga u geigh lmao! fuck yo finals beeeeeitch,,1,1
17,"{'notes': '', 'label': ['1']}",that sucks :(,,1,1
18,"{'notes': '', 'label': ['1']}","read that this morning. my fav is how they just straight up say ""cum shots""",,1,1
19,"{'notes': '', 'label': ['1']}",Unibroue 17 !!!! Another damn good Unibroue,,1,1
20,"{'notes': '', 'label': ['1']}",damn your evil 60 minute IPA beckoning me from the fridge right now...,,1,1
21,"{'notes': '', 'label': ['1']}",It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,,1,1
